subject_version_code,main_competence_name,specific_competence_name
2023-JSS017-Kidato III,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques in land surveying
2023-JSS017-Kidato III,Demonstrate mastery of human geography,Carry out a project in Geography
2023-JSS017-Kidato III,Demonstrate mastery of the structure of the Earth,"Demonstrate an understanding of the relationship between relief, climate and natural vegetation"
2023-JSS017-Kidato IV,Demonstrate mastery of human geography,Carry out a project in Geography
2023-JSS017-Kidato IV,Demonstrate mastery of human geography,"Demonstrate an understanding of the relationship between geography, environmental health, human settlements and economic activities"
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education"
2023-JSS024-Kidato II,Apply business knowledge in various contexts,Apply business theories into practice
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education"
2023-JSS024-Kidato II,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business
2023-JSS024-Kidato III,Apply business knowledge in various contexts,Apply business theories into practice
2023-JSS024-Kidato III,Apply business knowledge in various contexts,Demonstrate mastery of basic business ethics
2023-JSS024-Kidato III,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education"
2023-JSS024-Kidato III,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business
2023-JSS024-Kidato IV,Apply business knowledge in various contexts,Apply business theories into practice
2023-JSS024-Kidato IV,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education"
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of trading locally and internationally
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Prepare a trial balance
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic business financial position statements
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic profit or loss statements
2023-JSS023-Kidato II,Demonstrate mastery of financial assets control,Prepare a financial budget
2023-JSS023-Kidato II,Demonstrate mastery of financial assets control,Prepare bank reconciliation statements
2023-JSS023-Kidato II,Demonstrate mastery of the principles of Book-keeping,Prepare a Trial balance
2023-JSS023-Kidato II,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents
2023-JSS023-Kidato III,Demonstrate mastery of financial assets control,Adjust records in financial statements
2023-JSS023-Kidato III,Demonstrate mastery of financial assets control,Prepare a Trial balance
2023-JSS023-Kidato III,Prepare basic financial statements,Prepare basic business financial position statements
2023-JSS023-Kidato III,Prepare basic financial statements,Prepare basic profit or loss statements
2023-JSS023-Kidato III,Prepare financial statements for non-commercial institutions,Demonstrate an understanding of commercial and non-commercial organisations
2023-JSS023-Kidato III,Prepare financial statements for non-commercial institutions,Prepare financial statements of non-commercial organisations
2023-JSS023-Kidato IV,Demonstrate mastery of the use of ICT in Book-keeping,Use basic accounting packages
2023-JSS023-Kidato IV,Prepare basic financial statements,Prepare basic Statements of Cash flows
2023-JSS023-Kidato IV,Prepare basic financial statements,Prepare basic business financial position statements
2023-JSS023-Kidato IV,Prepare basic financial statements,Prepare basic financial statements for audit
2023-JSS023-Kidato IV,Prepare basic financial statements,Prepare basic profit or loss statements
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry"
2023-JSS021-Kidato II,Conduct experiments in Chemistry,Conduct experiments in Chemistry
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry",Demonstrate an understanding of the physical and chemical properties of elements on the basis of their arrangements in the periodic table
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry"
2023-JSS021-Kidato III,Conduct a project in Chemistry,Conduct a project in Chemistry
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry"
2023-JSS021-Kidato III,Demonstrate mastery of basic principles of extraction of metals,Demonstrate mastery of the principles of extraction of metals
2023-JSS021-Kidato IV,Conduct a project in Chemistry,Conduct a project in Chemistry
2023-JSS021-Kidato IV,Conduct experiments in Chemistry,Conduct experiments in Chemistry
2023-JSS021-Kidato IV,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry"
2023-JSS021-Kidato IV,Demonstrate mastery of basic terminologies in Chemistry,"Use chemical symbols, formulae and equations to represent chemical reaction"
2023-JSS021-Kidato IV,Demonstrate mastery of basic terminologies in Chemistry,Use the International Union of Pure and Applied Chemistry nomenclature to name chemical species
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kutambua Kiswahili kama kielelezo cha utaifa na utambulisho wa Mtanzania
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kutumia kamusi katika miktadha mbalimbali
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili
2023-JSS015-Kidato II,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali
2023-JSS015-Kidato II,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo
2023-JSS015-Kidato III,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo
2023-JSS015-Kidato III,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-Kidato III,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili
2023-JSS015-Kidato III,Kuthamini kazi za fasihi ya Kiswahili,Kubuni kazi za fasihi ya Kiswahili
2023-JSS015-Kidato III,Kuthamini kazi za fasihi ya Kiswahili,Kuhakiki kazi za fasihi ya Kiswahili
2023-JSS015-Kidato III,Kuthamini kazi za fasihi ya Kiswahili,Kukuza uelewa wa misingi ya fasihi ya Kiswahili
2023-JSS015-Kidato III,Kutoa huduma ya lugha ya Kiswahili katika jamii,Kufanya tafsiri sahili katika lugha ya Kiswahili
2023-JSS015-Kidato III,Kutoa huduma ya lugha ya Kiswahili katika jamii,Kuhariri matini mbalimbali za Kiswahili
2023-JSS015-Kidato III,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali
2023-JSS015-Kidato III,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo
2023-JSS015-Kidato IV,Kuthamini kazi za fasihi ya Kiswahili,Kubuni kazi za fasihi ya Kiswahili
2023-JSS015-Kidato IV,Kuthamini kazi za fasihi ya Kiswahili,Kuhakiki kazi za fasihi ya Kiswahili
2023-JSS015-Kidato IV,Kutoa huduma ya lugha ya Kiswahili katika jamii,Kufanya tafsiri sahili katika lugha ya Kiswahili
2023-JSS015-Kidato IV,Kutoa huduma ya lugha ya Kiswahili katika jamii,Kufanya ukalimani sahili kwa lugha ya Kiswahili
2023-JSS015-Kidato IV,Kutoa huduma ya lugha ya Kiswahili katika jamii,Kuhariri matini mbalimbali za Kiswahili
2023-JSS015-Kidato IV,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali
2023-JSS015-Kidato IV,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of the concept of History and sources of historical information
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa"
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of interactions among African societies during the pre-colonial period
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century"
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the development of capitalism and its impact on Africa
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the history of Africa's participation in the United Nations Organisation
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the regional integration in Africa
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate an understanding of the successes and challenges of nation-building in post-colonial Africa
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate mastery of the history of nation-building in post-colonial Africa
2023-JSS020-Kidato I,Communicating using scientific biological terminologies,Demonstrate mastery of scientific biological terminologies
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations
2023-JSS020-Kidato I,Conduct biological investigations,Prepare and present results of biological investigations
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms"
2023-JSS020-Kidato II,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations
2023-JSS020-Kidato II,Conduct biological investigations,Prepare and present results of biological investigations
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms"
2023-JSS020-Kidato III,Conduct biological investigations,Carry out a biological project work using biological principles
2023-JSS020-Kidato III,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations
2023-JSS020-Kidato III,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms"
2023-JSS020-Kidato IV,Conduct biological investigations,Carry out a biological project work using biological principles
2023-JSS020-Kidato IV,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms"
